web-scraper-order,web-scraper-start-url,pages,pages-href,item,item-href,prix,Location,superficie,nb pieces,nb chambres,nb salles de bains,etat ,Age,etage,Ca1,Ca2,Ca3,Ca4,Ca5,Ca6,Ca7,Ca8,Ca9,Ca10
1644853817-1052,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Vente Appartement Val Fleury Casablanca,https://www.mubawab.ma/fr/a/7332695/vente-appartement-val-fleury-casablanca,2 750 000 DH,"Val Fleury à
				
				Casablanca","180
					m²",6 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,"3ème
					étage",Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Cheminée,Marbre,null,null
1644853639-982,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement a vendre bourgogne,https://www.mubawab.ma/fr/a/7112680/appartement-a-vendre-bourgogne,2 100 000 DH,"Anfa à
				
				Casablanca","178
					m²",3 Pièces,3 Chambres,3 Salles de bains,Bon état,20-30 ans,"3ème
					étage",Garage,Ascenseur,Concierge,Chambre rangement,Double vitrage,Antenne parabolique,Sécurité,Porte blindée,Four,null
1644853626-978,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 99m² en vente Résid...,https://www.mubawab.ma/fr/pa/7284115/appartement-au-rdc-de-99m%C2%B2-en-vente-r%C3%A9sidence-al-hamd-2,934 000 DH,"City Dar Es Salaam à
				
				Casablanca","99
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644853655-989,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement a vendre racine,https://www.mubawab.ma/fr/a/7144233/appartement-a-vendre-racine,2 990 000 DH,"Bourgogne Ouest à
				
				Casablanca","179
					m²",3 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Chambre rangement,Chauffage central,Antenne parabolique,Sécurité,Porte blindée,Four,null
1644853646-985,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement haut standing a partir de dhs,https://www.mubawab.ma/fr/a/7356461/appartement-haut-standing-a-partir-de-dhs,925 000 DH,"Maârif à
				
				Casablanca","50
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,Moins d'un an,null,Terrasse,Garage,Ascenseur,Concierge,Climatisation,Double vitrage,Porte blindée,Marbre,null,null
1644853564-952,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Sublime appartement 3 ch avec terrasse et...,https://www.mubawab.ma/fr/a/7348714/sublime-appartement-3-ch-avec-terrasse-et-sans-vis-a-vis,2 300 000 DH,"Les princesses à
				
				Casablanca","142
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Marbre,Cuisine équipée,null,null,null,null
1644853742-1023,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3","Appartement de 94m² en vente, Résidence L...",https://www.mubawab.ma/fr/pa/7164105/appartement-de-94m%C2%B2-en-vente-r%C3%A9sidence-liv-in-garden,1 635 000 DH,"Maârif Extension à
				
				Casablanca","94
					m²",4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,null,Terrasse,Garage,Ascenseur,Jardin,Voir le catalogue en PDF,Voir la vidéo,Climatisation,Double vitrage,Porte blindée,null
1644853430-898,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7","Appart 100m² avec 47m² Terrasse, sup vend...",https://www.mubawab.ma/fr/pa/7163635/appart-100m%C2%B2-avec-47m%C2%B2-terrasse-sup-vendable-76-5m%C2%B2,924 000 DH,"La Gironde à
				
				Casablanca","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Terrasse,Garage,Ascenseur,Concierge,Voir la vidéo,Climatisation,Double vitrage,Antenne parabolique,TV,null
1644853615-973,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 98m² en vente Les A...,https://www.mubawab.ma/fr/pa/7259212/appartement-au-rdc-de-98m%C2%B2-en-vente-les-all%C3%A9es-de-californie-2,1 466 000 DH,"Californie à
				
				Casablanca","98
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,null,null,null,null,null,null
1644853462-911,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7",Appartement en vente à Maârif. 5 pièces...,https://www.mubawab.ma/fr/a/7193296/appartement-en-vente-%C3%A0-ma%C3%A2rif-5-pi%C3%A8ces-porte-blind%C3%A9e-salon-marocain-,1 320 000 DH,"Maârif à
				
				Casablanca","94
					m²",5 Pièces,2 Chambres,2 Salles de bains,Nouveau,null,null,Garage,Ascenseur,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Chauffage central,Double vitrage,Porte blindée,Réfrigérateur
1644853576-957,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement de 154m² dont cour de 22m²,https://www.mubawab.ma/fr/a/6213481/appartement-de-154m%C2%B2-dont-cour-de-22m%C2%B2,2 200 000 DH,"Ain Diab Extension à
				
				Casablanca","154
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Cheminée,Marbre,Cuisine équipée,null,null,null,null
1644853689-1002,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4","Appartement de 73m², 2 Pièces, Moulay Rac...",https://www.mubawab.ma/fr/pa/6969598/appartement-de-73m%C2%B2-2-pi%C3%A8ces-moulay-rachid,550 000 DH,"Hay Moulay Rachid 1 à
				
				Casablanca","73
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Four,null,null,Voir la vidéo,null,null,null,null,null
1644853583-960,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Villa à vendre à Californie,https://www.mubawab.ma/fr/a/7311480/villa-%C3%A0-vendre-%C3%A0-californie,7 090 000 DH,"Californie à
				
				Casablanca","435
					m²",9 Pièces,4 Chambres,3 Salles de bains,Nouveau,5-10 ans,null,Terrasse,Garage,Piscine,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Antenne parabolique,Marbre
1644853744-1024,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3","Appartement de 92m² en vente, Résidence L...",https://www.mubawab.ma/fr/pa/7124492/appartement-de-92m%C2%B2-en-vente-r%C3%A9sidence-le-d%C3%B4me-de-marjane,1 205 000 DH,"Hay Hassani à
				
				Casablanca","92
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,null,null,Garage,Ascenseur,Concierge,Salon Marocain,Voir la vidéo,Double vitrage,Sécurité,Cuisine équipée,null,null
1644853732-1019,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",2 chambres neuf à Oulfa haut sranding,https://www.mubawab.ma/fr/a/7250901/2-chambres-neuf-%C3%A0-oulfa-haut-sranding,750 000 DH,"Oulfa à
				
				Casablanca","87
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,"4ème
					étage",Terrasse,Garage,Concierge,Marbre,null,null,null,null,null,null
1644853793-1044,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Top appartement front mer en vente à Ain...,https://www.mubawab.ma/fr/a/7280255/top-appartement-front-mer-en-vente-%C3%A0-ain-diab,4 000 000 DH,"Ain Diab à
				
				Casablanca","180
					m²",5 Pièces,4 Chambres,4 Salles de bains,Bon état,5-10 ans,"2ème
					étage",Terrasse,Garage,Ascenseur,Piscine,Jardin,Concierge,Vue sur mer,Chambre rangement,Chauffage central,Porte blindée
1644853663-991,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement de 73m² en vente Résidence la...,https://www.mubawab.ma/fr/pa/6960283/appartement-de-73m%C2%B2-en-vente-r%C3%A9sidence-la-for%C3%AAt,550 000 DH,"Hay Moulay Rachid 1 à
				
				Casablanca","73
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Four,null,null,Voir la vidéo,null,null,null,null,null
1644853810-1049,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Vente Appartement Quartier Maarif Casabla...,https://www.mubawab.ma/fr/a/7231304/vente-appartement-quartier-maarif-casablanca,1 280 000 DH,"Franceville à
				
				Casablanca","102
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,"2ème
					étage",null,Garage,Ascenseur,Sécurité,Carrelage,Cuisine équipée,null,null,null,null,null
1644853445-904,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7",Affaire à saisir: Penthouse 256 m² BD Zer...,https://www.mubawab.ma/fr/a/7337717/affaire-%C3%A0-saisir-penthouse-256-m%C2%B2-bd-zerktouni,4 350 000 DH,"Maârif à
				
				Casablanca","256
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,null,null,Terrasse,Garage,Ascenseur,Climatisation,Double vitrage,Cuisine équipée,null,null,null,null
1644853602-968,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Villa 3 chambres à retaper 160 m² terrain...,https://www.mubawab.ma/fr/a/6003849/villa-3-chambres-%C3%A0-retaper-160-m%C2%B2-terrain-r2,2 650 000 DH,"Longchamps (Hay Al Hanâa) à
				
				Casablanca","160
					m²",3 Pièces,3 Chambres,2 Salles de bains,À rénover,30-50 ans,null,Terrasse,Garage,Jardin,null,null,null,null,null,null,null
1644853658-990,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Somptueuse villa à vendre à Ain Diab Exte...,https://www.mubawab.ma/fr/a/7335767/somptueuse-villa-%C3%A0-vendre-%C3%A0-ain-diab-extension-surface-de-1200-m%C2%B2-chemin%C3%A9e-piscine,20 000 000 DH,"Ain Diab Extension à
				
				Casablanca","1200
					m²",6 Pièces,4 Chambres,4 Salles de bains,Bon état,10-20 ans,null,Terrasse,Garage,Piscine,Jardin,Chambre rangement,Salon Marocain,Salon européen,Climatisation,Marbre,null
1644853869-1074,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Vente d'un bel appartement à Bourgogne Es...,https://www.mubawab.ma/fr/a/7349639/vente-d-un-bel-appartement-%C3%A0-bourgogne-est-2-belles-chambres-avec-ascenseur-et-terrasse,1 500 000 DH,"Bourgogne Est à
				
				Casablanca","116
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,null,Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Parquet,Cuisine équipée,null,null
1644853619-975,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement de 66m² en vente Résidence Le...,https://www.mubawab.ma/fr/pa/7267434/appartement-de-66m%C2%B2-en-vente-r%C3%A9sidence-les-jasmins-i,825 000 DH,"Roches Noires à
				
				Casablanca","66
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,"3ème
					étage",null,Ascenseur,Cuisine équipée,null,null,null,null,null,null,null,null
1644853609-971,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Vente bel appartement 127m² au quartier p...,https://www.mubawab.ma/fr/a/6932672/vente-bel-appartement-127m%C2%B2-au-quartier-princesses,2 000 000 DH,"Les princesses à
				
				Casablanca","127
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,10-20 ans,"5ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Climatisation,Antenne parabolique,Marbre,null,null
1644853600-967,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Des Studios et Appartements 28m 40m 68m 8...,https://www.mubawab.ma/fr/a/7301429/des-studios-et-appartements-28m-40m-68m-80m-173m,700 000 DH,"Maârif Extension à
				
				Casablanca","40
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,Moins d'un an,null,Terrasse,Garage,Ascenseur,Jardin,Concierge,Climatisation,Sécurité,Cuisine équipée,null,null
1644853512-931,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vente d'un appartement proche du lycée ly...,https://www.mubawab.ma/fr/a/7359849/vente-d-un-appartement-proche-du-lyc%C3%A9e-lyautey,1 900 000 DH,"Bourgogne Est à
				
				Casablanca","135
					m²",4 Pièces,2 Chambres,3 Salles de bains,Bon état,5-10 ans,"5ème
					étage",Terrasse,Garage,Ascenseur,Salon Marocain,Salon européen,Climatisation,Cheminée,Marbre,null,null
1644853723-1015,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Vue exceptionnelle. Appartement habitable...,https://www.mubawab.ma/fr/a/7258078/vue-exceptionnelle-appartement-habitable-imm%C3%A9diat,2 300 000 DH,"Moulay Youssef à
				
				Casablanca","140
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,"13ème
					étage",Terrasse,Ascenseur,Concierge,Vue sur mer,Chambre rangement,Salon européen,Climatisation,Double vitrage,Carrelage,Micro-ondes
1644853786-1041,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Vente d'Appartements Neufs Haut Standing,https://www.mubawab.ma/fr/a/7305356/vente-d-appartements-neufs-haut-standing,1 950 000 DH,"Tantonville à
				
				Casablanca","110
					m²",5 Pièces,3 Chambres,3 Salles de bains,Nouveau,Moins d'un an,null,Garage,Ascenseur,Concierge,Climatisation,Antenne parabolique,Sécurité,Marbre,Cuisine équipée,null,null
1644853502-927,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Appartement neuf a la ferme bretonne,https://www.mubawab.ma/fr/a/7329115/appartement-neuf-a-la-ferme-bretonne,1 300 000 DH,"Ferme Bretonne (Hay Arraha) à
				
				Casablanca","67
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,Moins d'un an,"4ème
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon européen,Climatisation,Double vitrage,Antenne parabolique,Marbre,null
1644853605-969,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5","Appartement de 73m², 2 Pièces, Moulay Rac...",https://www.mubawab.ma/fr/pa/6969597/appartement-de-73m%C2%B2-2-pi%C3%A8ces-moulay-rachid,550 000 DH,"Hay Moulay Rachid 1 à
				
				Casablanca","73
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Ascenseur,Four,null,null,Voir la vidéo,null,null,null,null,null
1644853476-916,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vue mer ain diab residence fermee,https://www.mubawab.ma/fr/a/7330254/vue-mer-ain-diab-residence-fermee,5 000 000 DH,"Ain Diab à
				
				Casablanca","219
					m²",8 Pièces,5 Chambres,4 Salles de bains,Bon état,5-10 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Vue sur mer,Salon Marocain,Salon européen,Cheminée,null
1644853467-913,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7","Appartement de 91m² en vente, LIV'IN Gard...",https://www.mubawab.ma/fr/pa/7331084/appartement-de-91m%C2%B2-en-vente-liv-in-garden,1 585 000 DH,"Maârif Extension à
				
				Casablanca","91
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,Moins d'un an,null,Garage,Ascenseur,Jardin,Concierge,Voir le catalogue en PDF,Voir la vidéo,Antenne parabolique,Sécurité,null,null
1644853672-995,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement de 129m² avec 12m² de terrass...,https://www.mubawab.ma/fr/pa/7331077/appartement-de-129m%C2%B2-avec-12m%C2%B2-de-terrasse-en-vente-liv-in-garden,2 280 000 DH,"Maârif Extension à
				
				Casablanca","141
					m²",4 Pièces,3 Chambres,2 Salles de bains,null,null,null,Terrasse,Jardin,Concierge,Climatisation,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644853481-918,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Appartement neuf ths gauthier au 3ème éta...,https://www.mubawab.ma/fr/a/6845467/appartement-neuf-ths-gauthier-au-3%C3%A8me-%C3%A9tage,2 300 000 DH,"Gauthier à
				
				Casablanca","88
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,"3ème
					étage",Garage,Ascenseur,Concierge,Climatisation,Chauffage central,Sécurité,Marbre,Cuisine équipée,null,null
1644853679-998,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement de 73m² et 10m² de terrasse e...,https://www.mubawab.ma/fr/pa/7333600/appartement-de-73m%C2%B2-et-10m%C2%B2-de-terrasse-en-vente-siyame-belv%C3%A9d%C3%A8re-%E2%80%93-tranche-ii,1 014 000 DH,"Belvédère à
				
				Casablanca","83
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,null,null,Terrasse,Cuisine équipée,Four,null,Voir la vidéo,null,null,null,null,null
1644853598-966,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Bel appartement HS avec terrasse à Palmie...,https://www.mubawab.ma/fr/a/7263557/bel-appartement-hs-avec-terrasse-%C3%A0-palmier,1 940 000 DH,"Palmier à
				
				Casablanca","188
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,20-30 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Climatisation,Antenne parabolique,Sécurité,Porte blindée,Marbre,null,null
1644853864-1072,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2","Studio de 57m² en vente, LIV'IN Garden",https://www.mubawab.ma/fr/pa/7331107/studio-de-57m%C2%B2-en-vente-liv-in-garden,1 035 000 DH,"Maârif Extension à
				
				Casablanca","57
					m²",2 Pièces,1 Chambre,1 Salle de bain,null,null,null,Jardin,Concierge,Climatisation,Sécurité,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644853843-1063,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Casablanca Les princesses Vente d'apparte...,https://www.mubawab.ma/fr/a/7058862/casablanca-les-princesses-vente-d-appartement-5eme-etage,2 650 000 DH,"Les princesses à
				
				Casablanca","200
					m²",6 Pièces,3 Chambres,3 Salles de bains,Bon état,5-10 ans,"5ème
					étage",Terrasse,Garage,Ascenseur,Double vitrage,Antenne parabolique,Cheminée,Sécurité,Porte blindée,Four,null
